Cut,PD,Cand_RapCM,Cand_Rap,Cand_AbsRap,Cand_Pt,NTrack,ModelCandMass_JPsiToMuMuOS_PA8Y16,f_JPsiToMuMuOS_PA8Y16,Sigma1_JPsiToMuMuOS_PA8Y16,rSigma21_JPsiToMuMuOS_PA8Y16,AlphaR_JPsiToMuMuOS_PA8Y16,nR_JPsiToMuMuOS_PA8Y16,Alpha_JPsiToMuMuOS_PA8Y16,n_JPsiToMuMuOS_PA8Y16
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Uniform[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Chebychev1[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Chebychev2[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Chebychev3[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Chebychev4[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Chebychev5[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,3.0-5.0,120.0-250.0,SingleGaussian[JPsi;Psi2S]+Chebychev6[Bkg],[0.35;0.02;1.0],[0.034;0.014;0.054],[1.40;0.7;3.0],[2.55;0.4;5.0],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev5[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,NONE,1.4-2.4,5.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev6[Bkg],[0.6;-1.0;2.0],[0.030;0.003;0.120],[1.2269],[1.6521],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev5[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,-2.4_-1.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev6[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.060],[1.3883],[2.5327],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Uniform[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.050],[1.4327],[2.1047],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev1[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.050],[1.4327],[2.1047],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev2[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.050],[1.4327],[2.1047],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev3[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.050],[1.4327],[2.1047],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev4[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.050],[1.4327],[2.1047],[11.0],[1.5],[1.9]
PromptDecay,DIMUON,NONE,1.4_2.4,NONE,3.0-6.5,120.0-250.0,GaussianAndExtCrystalBall[JPsi;Psi2S]+Chebychev5[Bkg],[0.35;0.0;1.0],[0.035;0.025;0.050],[1.4327],[2.1047],[11.0],[1.5],[1.9]
